version,stage,current,ATK,DEF,SPE,HP
17,3,Witchmon,Wisemon,Astamon,NeoDevimon,Matadormon
17,3,Boogiemon,Astamon,NeoDevimon,SkullBaluchimon,Cerberumon
17,4,Infermon,Diablomon,Diablomon,Diablomon,Diablomon
17,4,Matadormon,GranDracmon,Barbamon,BeelStarmon,Murmukusmon
17,4,Astamon,Barbamon,GranDracmon,BeelStarmon,Lilithmon
17,4,NeoDevimon,Barbamon,Lilithmon,GranDracmon,Murmukusmon
17,4,SkullBaluchimon,Murmukusmon,Lilithmon,BeelStarmon,GranDracmon
17,4,Wisemon,Barbamon,GranDracmon,BeelStarmon,Murmukusmon
17,4,Cerberumon,GranDracmon,Lilithmon,Murmukusmon,BeelStarmon
18,2,Lunamon,Lekismon,Dolphmon,Tylomon,Tobiumon
18,2,Swimmon,Dolphmon,Tylomon,Tobiumon,Orcamon
18,2,Kamemon,Tylomon,Orcamon,Tobiumon,Dolphmon
18,2,Sangomon,Tobiumon,Tylomon,Orcamon,Dolphmon
18,2,Penmon,Dolphmon,Orcamon,Tylomon,Tobiumon
18,3,Lekismon,Crescemon,MarinChimairamon,Divemon,Gusokumon
18,3,Dolphmon,MarinChimairamon,Divemon,WaruSeadramon,Gusokumon
18,3,Tylomon,WaruSeadramon,Gusokumon,Divemon,MarinChimairamon
18,3,Tobiumon,Divemon,MarinChimairamon,Gusokumon,WaruSeadramon
18,3,Orcamon,Gusokumon,WaruSeadramon,MarinChimairamon,Divemon
18,4,Crescemon,Dianamon,AncientMermaimon,Neptunemon,Regalecusmon
18,4,MarinChimairamon,Regalecusmon,Leviamon,AncientMermaimon,Neptunemon
18,4,Gusokumon,Neptunemon,Leviamon,Regalecusmon,AncientMermaimon
18,4,WaruSeadramon,Leviamon,Neptunemon,Regalecusmon,AncientMermaimon
18,4,Divemon,Regalecusmon,Neptunemon,AncientMermaimon,Leviamon
19,2,Gaomon,Gaogamon,Parasaurmon,Waspmon,Sunflowmon
19,2,Pomumon,Parasaurmon,Sunflowmon,Waspmon,Gaogamon
19,2,Funbeemon,Waspmon,Parasaurmon,Gaogamon,Sunflowmon
19,2,Lalamon,Sunflowmon,Parasaurmon,Waspmon,Gaogamon
19,3,Gaogamon,MachGaogamon,Ajatarmon,CannonBeemon,Lilamon
19,3,Parasaurmon,Ajatarmon,Lilamon,CannonBeemon,MachGaogamon
19,3,Sunflowmon,Lilamon,Ajatarmon,CannonBeemon,MachGaogamon
19,3,Waspmon,CannonBeemon,Ajatarmon,MachGaogamon,Lilamon
19,4,MachGaogamon,MirageGaogamon,GrandisKuwagamon,TigerVespamon,Lotusmon
19,4,Ajatarmon,Lotusmon,Bancho Lilimon,GrandisKuwagamon,MirageGaogamon
19,4,CannonBeemon,TigerVespamon,GrandisKuwagamon,Bancho Lilimon,MirageGaogamon
19,4,Lilamon,Lotusmon,Bancho Lilimon,MirageGaogamon,GrandisKuwagamon
20,2,Renamon,Kyubimon,Sorcermon,BlackTailmon,Musyamon
20,2,Impmon,Sorcermon,Musyamon,Fugamon,BlackTailmon
20,2,Gazimon,Fugamon,Musyamon,Sorcermon,BlackTailmon
20,2,Goblimon,Fugamon,Musyamon,BlackTailmon,Sorcermon
20,2,Phascomon,BlackTailmon,Sorcermon,Fugamon,Kyubimon
20,3,Kyubimon,Taomon,Bastemon,Archnemon,Baalmon
20,3,Sorcermon,Baalmon,Taomon,Bastemon,SkullSatamon
20,3,BlackTailmon,Bastemon,Archnemon,Taomon,Baalmon
20,3,Musyamon,SkullSatamon,Baalmon,Archnemon,Taomon
20,3,Fugamon,SkullSatamon,Baalmon,Bastemon,Archnemon
20,4,Taomon,Sakuyamon,Kuzuhamon,Plutomon,Gulfmon
20,4,Baalmon,Beelzebumon,Gulfmon,Plutomon,Kuzuhamon
20,4,Bastemon,Kuzuhamon,Gulfmon,Sakuyamon,Plutomon
20,4,Archnemon,Gulfmon,Plutomon,Kuzuhamon,Beelzebumon
20,4,SkullSatamon,Beelzebumon,Gulfmon,Plutomon,Kuzuhamon
21,2,Hackmon,BaoHackmon,Gladimon,Reppamon,Pidmon
21,2,Kudamon,Reppamon,Pidmon,Gladimon,Darcmon
21,2,Patamon,Gladimon,Reppamon,Pidmon,Darcmon
21,2,Morphomon,Darcmon,Reppamon,Gladimon,Pidmon
21,2,Coronamon,Firamon,Firamon,Firamon,Firamon
21,3,BaoHackmon,SaviorHackmon,Chirinmon,Mistymon,Hippogriffomon
21,3,Gladimon,Mistymon,Chirinmon,Hippogriffomon,SaviorHackmon
21,3,Reppamon,Chirinmon,Hippogriffomon,Mistymon,SaviorHackmon
21,3,Pidmon,Hippogriffomon,Mistymon,Chirinmon,SaviorHackmon
21,3,Darcmon,Mistymon,Hippogriffomon,Chirinmon,SaviorHackmon
21,3,Firamon,Flaremon,Flaremon,Flaremon,Flaremon
21,4,SaviorHackmon,Jesmon,Craniummon,Duftmon,Sleipmon
21,4,Chirinmon,Sleipmon,Seraphimon,Ophanimon,Duftmon
21,4,Hippogriffomon,Ophanimon,Seraphimon,Sleipmon,Duftmon
21,4,Mistymon,Duftmon,Craniummon,Seraphimon,Ophanimon
21,4,Flaremon,Apollomon,Apollomon,Apollomon,Apollomon
22,2,Veemon,ExVeemon,Snimon,Aquilamon,Ankylomon
22,2,Wormmon,Snimon,ExVeemon,Ankylomon,Aquilamon
22,2,Hawkmon,Aquilamon,ExVeemon,Snimon,Ankylomon
22,2,Armadillomon,Ankylomon,Snimon,ExVeemon,Aquilamon
22,3,ExVeemon,Meteormon,JewelBeemon,Yatagaramon,Meteormon
22,3,Snimon,JewelBeemon,Yatagaramon,Meteormon,JewelBeemon
22,3,Aquilamon,Yatagaramon,Meteormon,JewelBeemon,Yatagaramon
22,3,Ankylomon,Meteormon,JewelBeemon,Yatagaramon,Meteormon
22,4,JewelBeemon,Valkyrimon,Ravmon,Valkyrimon,Ravmon
22,4,Yatagaramon,Ravmon,Valkyrimon,Ravmon,Valkyrimon
22,4,Meteormon,Valkyrimon,Ravmon,Valkyrimon,Ravmon
22,4,Silphymon,Valkyrimon,Valkyrimon,Valkyrimon,Valkyrimon
22,4,Shakkoumon,Valkyrimon,Ravmon,Valkyrimon,Ravmon
